ResourceName,ProjectID,Region,Importance,LastActivity,AssetType,FullResourcePath
system:clouddns,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:clouddns
system:clustermetrics,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:clustermetrics
system:controller:attachdetach-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:attachdetach-controller
system:controller:certificate-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:certificate-controller
system:controller:clusterrole-aggregation-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:clusterrole-aggregation-controller
system:controller:cronjob-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:cronjob-controller
system:controller:daemon-set-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:daemon-set-controller
system:controller:deployment-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:deployment-controller
system:controller:disruption-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:disruption-controller
system:controller:endpoint-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:endpoint-controller
system:controller:endpointslice-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:endpointslice-controller
system:controller:endpointslicemirroring-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:endpointslicemirroring-controller
system:controller:ephemeral-volume-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:ephemeral-volume-controller
system:controller:expand-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:expand-controller
system:controller:generic-garbage-collector,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:generic-garbage-collector
system:controller:gke-service-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:gke-service-controller
system:controller:horizontal-pod-autoscaler,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:horizontal-pod-autoscaler
system:controller:job-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:job-controller
system:controller:legacy-service-account-token-cleaner,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:legacy-service-account-token-cleaner
system:controller:namespace-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:namespace-controller
system:controller:node-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:node-controller
system:controller:persistent-volume-binder,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:persistent-volume-binder
system:controller:pod-garbage-collector,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:pod-garbage-collector
system:controller:pv-protection-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:pv-protection-controller
system:controller:pvc-protection-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:pvc-protection-controller
system:controller:replicaset-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:replicaset-controller
system:controller:replication-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:replication-controller
system:controller:resource-claim-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:resource-claim-controller
system:controller:resourcequota-controller,gemini-poc-486906,me-central1,High,Unknown (Always Important),rbac.authorization.k8s.io/ClusterRoleBinding,//container.googleapis.com/projects/gemini-poc-486906/locations/me-central1/clusters/demo-gk1/k8s/rbac.authorization.k8s.io/clusterrolebindings/system:controller:resourcequota-controller
